Designator,Mid X,Mid Y,Rotation,Layer
D1,145.415,-101.75875,90.0,bottom
D2,164.465,-101.75875,90.0,bottom
D3,183.515,-101.75875,90.0,bottom
D4,145.415,-120.80875,90.0,bottom
D5,164.465,-120.80875,90.0,bottom
D6,183.515,-120.80875,90.0,bottom
D7,145.415,-139.85875,90.0,bottom
D8,164.465,-139.85875,90.0,bottom
D9,183.515,-139.85875,90.0,bottom
J1,162.87125,-85.84,0.0,top
S1,135.56125,-100.5525,0.0,top
S2,154.6225,-100.54625,0.0,top
S3,173.6725,-100.54625,0.0,top
S4,135.5725,-119.59625,0.0,top
S5,154.6225,-119.59625,0.0,top
S6,173.6725,-119.59625,0.0,top
S7,135.5725,-138.64625,0.0,top
S8,154.6225,-138.64625,0.0,top
S9,173.6725,-138.64625,0.0,top
SW1,173.725,-84.8875,0.0,top
U1,154.795,-67.695,0.0,top
